"entrez_symbol","driver_mechanism","label"
"FGFR1","GoF","FGFR1 GoF"
"FGFR2","GoF","FGFR2 GoF"
"FGFR3","GoF","FGFR3 GoF"
"FGFR4","GoF","FGFR4 GoF"
"FH","LoF","FH LoF"
"FLCN","LoF","FLCN LoF"
"FLT3","GoF","FLT3 GoF"
"FN1","LoF","FN1 LoF"
"FOXA1","LoF","FOXA1 LoF"
"FOXA2","LoF","FOXA2 LoF"
"FOXD4L1","LoF","FOXD4L1 LoF"
"FOXL2","GoF","FOXL2 GoF"
"FOXO1","GoF","FOXO1 GoF"
"FOXP1","GoF","FOXP1 GoF"
"FUBP1","LoF","FUBP1 LoF"
"GATA1","GoF","GATA1 GoF"
"GATA2","GoF","GATA2 GoF"
"GATA3","LoF","GATA3 LoF"
"GLI1","GoF","GLI1 GoF"
"GMPS","LoF","GMPS LoF"
"GNA11","GoF","GNA11 GoF"
"GNA13","LoF","GNA13 LoF"
"GNAQ","GoF","GNAQ GoF"
"GNAS","GoF","GNAS GoF"
"GRIN2A","GoF","GRIN2A GoF"
"GTF2I","GoF","GTF2I GoF"
"H3F3A","GoF","H3F3A GoF"
"HGF","GoF","HGF GoF"
"HIP1","GoF","HIP1 GoF"
"HIST1H3B","GoF","HIST1H3B GoF"
"HIST1H4I","GoF","HIST1H4I GoF"
"HNF1A","LoF","HNF1A LoF"
"HNRNPA2B1","GoF","HNRNPA2B1 GoF"
"HOXC13","GoF","HOXC13 GoF"
"HOXD13","LoF","HOXD13 LoF"
"HRAS","GoF","HRAS GoF"
"HSP90AA1","GoF","HSP90AA1 GoF"
"HSP90AB1","GoF","HSP90AB1 GoF"
"HTRA2","LoF","HTRA2 LoF"
"ID3","LoF","ID3 LoF"
"IDH1","GoF","IDH1 GoF"
"IDH2","GoF","IDH2 GoF"
"IFNAR1","LoF","IFNAR1 LoF"
"IFNGR1","LoF","IFNGR1 LoF"
"IL6ST","GoF","IL6ST GoF"
"IL7R","GoF","IL7R GoF"
"ING1","LoF","ING1 LoF"
"IRAK1","LoF","IRAK1 LoF"
"IRF1","LoF","IRF1 LoF"
"IRS4","LoF","IRS4 LoF"
"JAK3","GoF","JAK3 GoF"
"KAT6B","GoF","KAT6B GoF"
"KDM5A","GoF","KDM5A GoF"
"KDM5C","LoF","KDM5C LoF"
"KDM6A","LoF","KDM6A LoF"
"KDR","GoF","KDR GoF"
"KEAP1","GoF","KEAP1 GoF"
"KEL","GoF","KEL GoF"
"KIF5B","GoF","KIF5B GoF"
"KIFC1","GoF","KIFC1 GoF"
"KIT","GoF","KIT GoF"
"KLF4","GoF","KLF4 GoF"
"KLHL6","LoF","KLHL6 LoF"
"KMT2A","LoF","KMT2A LoF"
"KMT2B","LoF","KMT2B LoF"
"KMT2C","LoF","KMT2C LoF"
"KMT2D","LoF","KMT2D LoF"
"KRAS","GoF","KRAS GoF"
"LATS1","LoF","LATS1 LoF"
"LATS2","LoF","LATS2 LoF"
"LDB1","GoF","LDB1 GoF"
"LIFR","GoF","LIFR GoF"
"LOX","LoF","LOX LoF"
"LPAR4","LoF","LPAR4 LoF"
"LPP","GoF","LPP GoF"
"LRP1B","LoF","LRP1B LoF"
"LTB","GoF","LTB GoF"
"LY75-CD302","GoF","LY75-CD302 GoF"
"LZTR1","LoF","LZTR1 LoF"
"MAF","LoF","MAF LoF"
"MALT1","LoF","MALT1 LoF"
"MAML2","LoF","MAML2 LoF"
"MAP2K1","GoF","MAP2K1 GoF"
"MAP2K4","LoF","MAP2K4 LoF"
"MAP2K7","LoF","MAP2K7 LoF"
"MAP3K1","LoF","MAP3K1 LoF"
"MAPK1","GoF","MAPK1 GoF"
"MAX","GoF","MAX GoF"
"MB21D2","LoF","MB21D2 LoF"
"MDM2","GoF","MDM2 GoF"
"MDM4","GoF","MDM4 GoF"
"MECOM","GoF","MECOM GoF"
"MED12","GoF","MED12 GoF"
"MEF2B","LoF","MEF2B LoF"
"MEN1","LoF","MEN1 LoF"
"MET","GoF","MET GoF"
"MGA","LoF","MGA LoF"
"MLLT1","GoF","MLLT1 GoF"
"MLLT3","GoF","MLLT3 GoF"
"MTCP1","GoF","MTCP1 GoF"
"MTOR","GoF","MTOR GoF"
"MYC","GoF","MYC GoF"
"MYCN","GoF","MYCN GoF"
"MYD88","GoF","MYD88 GoF"
"MYH11","GoF","MYH11 GoF"
"MYH9","GoF","MYH9 GoF"
"NCOA2","GoF","NCOA2 GoF"
"NCOR1","LoF","NCOR1 LoF"
"NCOR2","GoF","NCOR2 GoF"
"NF1","LoF","NF1 LoF"
"NF2","LoF","NF2 LoF"
"NFE2L2","GoF","NFE2L2 GoF"
"NFKBIA","LoF","NFKBIA LoF"
"NIN","LoF","NIN LoF"
"NIPBL","LoF","NIPBL LoF"
"NKTR","GoF","NKTR GoF"
"NONO","LoF","NONO LoF"
"NPEPPS","LoF","NPEPPS LoF"
"NPRL2","LoF","NPRL2 LoF"
"NRAS","GoF","NRAS GoF"
