"from","to","driver_mechanism","relationship","LINK_FUNCTION"
"ELF4 GoF","ELF4","GoF","activates",1
"EP300 LoF","EP300","LoF","inhibits",-1
"EPAS1 GoF","EPAS1","GoF","activates",1
"EPHA2 LoF","EPHA2","LoF","inhibits",-1
"EPS15 GoF","EPS15","GoF","activates",1
"ERBB2 GoF","ERBB2","GoF","activates",1
"ERBB3 GoF","ERBB3","GoF","activates",1
"ERBB4 LoF","ERBB4","LoF","inhibits",-1
"ERCC2 LoF","ERCC2","LoF","inhibits",-1
"ERCC3 LoF","ERCC3","LoF","inhibits",-1
"ERG GoF","ERG","GoF","activates",1
"ESR1 GoF","ESR1","GoF","activates",1
"ESRRA GoF","ESRRA","GoF","activates",1
"ETV4 LoF","ETV4","LoF","inhibits",-1
"ETV5 GoF","ETV5","GoF","activates",1
"ETV6 GoF","ETV6","GoF","activates",1
"EWSR1 GoF","EWSR1","GoF","activates",1
"EXT2 LoF","EXT2","LoF","inhibits",-1
"EZH2 LoF","EZH2","LoF","inhibits",-1
"FAM135B GoF","FAM135B","GoF","activates",1
"FAM46C LoF","FAM46C","LoF","inhibits",-1
"FANCA LoF","FANCA","LoF","inhibits",-1
"FANCC LoF","FANCC","LoF","inhibits",-1
"FANCD2 LoF","FANCD2","LoF","inhibits",-1
"FANCF LoF","FANCF","LoF","inhibits",-1
"FAS LoF","FAS","LoF","inhibits",-1
"FAT1 LoF","FAT1","LoF","inhibits",-1
"FAT2 GoF","FAT2","GoF","activates",1
"FAT4 LoF","FAT4","LoF","inhibits",-1
"FBLN1 GoF","FBLN1","GoF","activates",1
"FBXO11 LoF","FBXO11","LoF","inhibits",-1
"FBXW7 LoF","FBXW7","LoF","inhibits",-1
"FGD5 GoF","FGD5","GoF","activates",1
"FGFR1 GoF","FGFR1","GoF","activates",1
"FGFR2 GoF","FGFR2","GoF","activates",1
"FGFR3 GoF","FGFR3","GoF","activates",1
"FGFR4 GoF","FGFR4","GoF","activates",1
"FH LoF","FH","LoF","inhibits",-1
"FLCN LoF","FLCN","LoF","inhibits",-1
"FLT3 GoF","FLT3","GoF","activates",1
"FN1 LoF","FN1","LoF","inhibits",-1
"FOXA1 LoF","FOXA1","LoF","inhibits",-1
"FOXA2 LoF","FOXA2","LoF","inhibits",-1
"FOXD4L1 LoF","FOXD4L1","LoF","inhibits",-1
"FOXL2 GoF","FOXL2","GoF","activates",1
"FOXO1 GoF","FOXO1","GoF","activates",1
"FOXP1 GoF","FOXP1","GoF","activates",1
"FUBP1 LoF","FUBP1","LoF","inhibits",-1
"GATA1 GoF","GATA1","GoF","activates",1
"GATA2 GoF","GATA2","GoF","activates",1
"GATA3 LoF","GATA3","LoF","inhibits",-1
"GLI1 GoF","GLI1","GoF","activates",1
"GMPS LoF","GMPS","LoF","inhibits",-1
"GNA11 GoF","GNA11","GoF","activates",1
"GNA13 LoF","GNA13","LoF","inhibits",-1
"GNAQ GoF","GNAQ","GoF","activates",1
"GNAS GoF","GNAS","GoF","activates",1
"GRIN2A GoF","GRIN2A","GoF","activates",1
"GTF2I GoF","GTF2I","GoF","activates",1
"H3F3A GoF","H3F3A","GoF","activates",1
"HGF GoF","HGF","GoF","activates",1
"HIP1 GoF","HIP1","GoF","activates",1
"HIST1H3B GoF","HIST1H3B","GoF","activates",1
"HIST1H4I GoF","HIST1H4I","GoF","activates",1
"HNF1A LoF","HNF1A","LoF","inhibits",-1
"HNRNPA2B1 GoF","HNRNPA2B1","GoF","activates",1
"HOXC13 GoF","HOXC13","GoF","activates",1
"HOXD13 LoF","HOXD13","LoF","inhibits",-1
"HRAS GoF","HRAS","GoF","activates",1
"HSP90AA1 GoF","HSP90AA1","GoF","activates",1
"HSP90AB1 GoF","HSP90AB1","GoF","activates",1
"HTRA2 LoF","HTRA2","LoF","inhibits",-1
"ID3 LoF","ID3","LoF","inhibits",-1
"IDH1 GoF","IDH1","GoF","activates",1
"IDH2 GoF","IDH2","GoF","activates",1
"IFNAR1 LoF","IFNAR1","LoF","inhibits",-1
"IFNGR1 LoF","IFNGR1","LoF","inhibits",-1
"IL6ST GoF","IL6ST","GoF","activates",1
"IL7R GoF","IL7R","GoF","activates",1
"ING1 LoF","ING1","LoF","inhibits",-1
"IRAK1 LoF","IRAK1","LoF","inhibits",-1
"IRF1 LoF","IRF1","LoF","inhibits",-1
"IRS4 LoF","IRS4","LoF","inhibits",-1
"JAK3 GoF","JAK3","GoF","activates",1
"KAT6B GoF","KAT6B","GoF","activates",1
"KDM5A GoF","KDM5A","GoF","activates",1
"KDM5C LoF","KDM5C","LoF","inhibits",-1
"KDM6A LoF","KDM6A","LoF","inhibits",-1
"KDR GoF","KDR","GoF","activates",1
"KEAP1 GoF","KEAP1","GoF","activates",1
"KEL GoF","KEL","GoF","activates",1
"KIF5B GoF","KIF5B","GoF","activates",1
"KIFC1 GoF","KIFC1","GoF","activates",1
"KIT GoF","KIT","GoF","activates",1
"KLF4 GoF","KLF4","GoF","activates",1
"KLHL6 LoF","KLHL6","LoF","inhibits",-1
"KMT2A LoF","KMT2A","LoF","inhibits",-1
"KMT2B LoF","KMT2B","LoF","inhibits",-1
"KMT2C LoF","KMT2C","LoF","inhibits",-1
"KMT2D LoF","KMT2D","LoF","inhibits",-1
"KRAS GoF","KRAS","GoF","activates",1
"LATS1 LoF","LATS1","LoF","inhibits",-1
"LATS2 LoF","LATS2","LoF","inhibits",-1
"LDB1 GoF","LDB1","GoF","activates",1
"LIFR GoF","LIFR","GoF","activates",1
"LOX LoF","LOX","LoF","inhibits",-1
"LPAR4 LoF","LPAR4","LoF","inhibits",-1
"LPP GoF","LPP","GoF","activates",1
"LRP1B LoF","LRP1B","LoF","inhibits",-1
"LTB GoF","LTB","GoF","activates",1
"LY75-CD302 GoF","LY75-CD302","GoF","activates",1
"LZTR1 LoF","LZTR1","LoF","inhibits",-1
"MAF LoF","MAF","LoF","inhibits",-1
"MALT1 LoF","MALT1","LoF","inhibits",-1
"MAML2 LoF","MAML2","LoF","inhibits",-1
"MAP2K1 GoF","MAP2K1","GoF","activates",1
"MAP2K4 LoF","MAP2K4","LoF","inhibits",-1
"MAP2K7 LoF","MAP2K7","LoF","inhibits",-1
"MAP3K1 LoF","MAP3K1","LoF","inhibits",-1
"MAPK1 GoF","MAPK1","GoF","activates",1
"MAX GoF","MAX","GoF","activates",1
"MB21D2 LoF","MB21D2","LoF","inhibits",-1
"MDM2 GoF","MDM2","GoF","activates",1
"MDM4 GoF","MDM4","GoF","activates",1
"MECOM GoF","MECOM","GoF","activates",1
"MED12 GoF","MED12","GoF","activates",1
"MEF2B LoF","MEF2B","LoF","inhibits",-1
"MEN1 LoF","MEN1","LoF","inhibits",-1
"MET GoF","MET","GoF","activates",1
"MGA LoF","MGA","LoF","inhibits",-1
"MLLT1 GoF","MLLT1","GoF","activates",1
"MLLT3 GoF","MLLT3","GoF","activates",1
"MTCP1 GoF","MTCP1","GoF","activates",1
"MTOR GoF","MTOR","GoF","activates",1
"MYC GoF","MYC","GoF","activates",1
"MYCN GoF","MYCN","GoF","activates",1
"MYD88 GoF","MYD88","GoF","activates",1
"MYH11 GoF","MYH11","GoF","activates",1
"MYH9 GoF","MYH9","GoF","activates",1
"NCOA2 GoF","NCOA2","GoF","activates",1
"NCOR1 LoF","NCOR1","LoF","inhibits",-1
"NCOR2 GoF","NCOR2","GoF","activates",1
"NF1 LoF","NF1","LoF","inhibits",-1
"NF2 LoF","NF2","LoF","inhibits",-1
"NFE2L2 GoF","NFE2L2","GoF","activates",1
"NFKBIA LoF","NFKBIA","LoF","inhibits",-1
"NIN LoF","NIN","LoF","inhibits",-1
"NIPBL LoF","NIPBL","LoF","inhibits",-1
"NKTR GoF","NKTR","GoF","activates",1
"NONO LoF","NONO","LoF","inhibits",-1
"NPEPPS LoF","NPEPPS","LoF","inhibits",-1
"NPRL2 LoF","NPRL2","LoF","inhibits",-1
"NRAS GoF","NRAS","GoF","activates",1
"NRG1 GoF","NRG1","GoF","activates",1
"NRK GoF","NRK","GoF","activates",1
"NRP1 LoF","NRP1","LoF","inhibits",-1
"NSD1 GoF","NSD1","GoF","activates",1
"NT5C3A LoF","NT5C3A","LoF","inhibits",-1
"NTRK1 GoF","NTRK1","GoF","activates",1
"NTRK3 GoF","NTRK3","GoF","activates",1
"NUMA1 GoF","NUMA1","GoF","activates",1
"NUP214 GoF","NUP214","GoF","activates",1
"NXF1 GoF","NXF1","GoF","activates",1
"P2RY8 GoF","P2RY8","GoF","activates",1
"PAK2 GoF","PAK2","GoF","activates",1
"PBRM1 LoF","PBRM1","LoF","inhibits",-1
"PCBP1 GoF","PCBP1","GoF","activates",1
"PCDH17 LoF","PCDH17","LoF","inhibits",-1
"PCMTD1 LoF","PCMTD1","LoF","inhibits",-1
"PDCD1LG2 GoF","PDCD1LG2","GoF","activates",1
"PDE4DIP GoF","PDE4DIP","GoF","activates",1
"PDGFRA GoF","PDGFRA","GoF","activates",1
"PDGFRB GoF","PDGFRB","GoF","activates",1
"PEG3 GoF","PEG3","GoF","activates",1
"PHF6 LoF","PHF6","LoF","inhibits",-1
"PIK3CA GoF","PIK3CA","GoF","activates",1
"PIK3CB GoF","PIK3CB","GoF","activates",1
"PIK3R1 LoF","PIK3R1","LoF","inhibits",-1
"PIM1 LoF","PIM1","LoF","inhibits",-1
"PLAG1 GoF","PLAG1","GoF","activates",1
"PLCB4 GoF","PLCB4","GoF","activates",1
"PLCG1 GoF","PLCG1","GoF","activates",1
"PML LoF","PML","LoF","inhibits",-1
"PMS2 LoF","PMS2","LoF","inhibits",-1
"POLD1 GoF","POLD1","GoF","activates",1
"PPM1D LoF","PPM1D","LoF","inhibits",-1
"PPP2R1A GoF","PPP2R1A","GoF","activates",1
"PPP3CA LoF","PPP3CA","LoF","inhibits",-1
"PPP6C LoF","PPP6C","LoF","inhibits",-1
"PPT2 GoF","PPT2","GoF","activates",1
"PRDM1 LoF","PRDM1","LoF","inhibits",-1
"PREX2 GoF","PREX2","GoF","activates",1
"PRF1 LoF","PRF1","LoF","inhibits",-1
"PRKAR1A LoF","PRKAR1A","LoF","inhibits",-1
"PRKCB GoF","PRKCB","GoF","activates",1
"PRKCD LoF","PRKCD","LoF","inhibits",-1
"PRR14 LoF","PRR14","LoF","inhibits",-1
"PRRX1 GoF","PRRX1","GoF","activates",1
"PSIP1 GoF","PSIP1","GoF","activates",1
"PTCH1 LoF","PTCH1","LoF","inhibits",-1
"PTEN LoF","PTEN","LoF","inhibits",-1
"PTMA LoF","PTMA","LoF","inhibits",-1
"PTPN11 GoF","PTPN11","GoF","activates",1
"PTPN13 LoF","PTPN13","LoF","inhibits",-1
"PTPN14 LoF","PTPN14","LoF","inhibits",-1
"PTPN6 LoF","PTPN6","LoF","inhibits",-1
"PTPRC GoF","PTPRC","GoF","activates",1
"PTPRD GoF","PTPRD","GoF","activates",1
"PTPRK LoF","PTPRK","LoF","inhibits",-1
"PTPRT LoF","PTPRT","LoF","inhibits",-1
"QKI LoF","QKI","LoF","inhibits",-1
"RABEP1 LoF","RABEP1","LoF","inhibits",-1
"RAC1 GoF","RAC1","GoF","activates",1
"RAD21 LoF","RAD21","LoF","inhibits",-1
"RAF1 GoF","RAF1","GoF","activates",1
"RALGDS GoF","RALGDS","GoF","activates",1
"RANBP2 LoF","RANBP2","LoF","inhibits",-1
"RAP1GDS1 GoF","RAP1GDS1","GoF","activates",1
"RARA GoF","RARA","GoF","activates",1
"RASA1 LoF","RASA1","LoF","inhibits",-1
"RASA2 LoF","RASA2","LoF","inhibits",-1
"RB1 LoF","RB1","LoF","inhibits",-1
"RBFOX1 GoF","RBFOX1","GoF","activates",1
"RBFOX2 GoF","RBFOX2","GoF","activates",1
"RBM10 LoF","RBM10","LoF","inhibits",-1
"RBM15 LoF","RBM15","LoF","inhibits",-1
"RBM39 GoF","RBM39","GoF","activates",1
"RECQL4 LoF","RECQL4","LoF","inhibits",-1
"RELA GoF","RELA","GoF","activates",1
"RET GoF","RET","GoF","activates",1
"RGL3 GoF","RGL3","GoF","activates",1
"RGS7 LoF","RGS7","LoF","inhibits",-1
"RHOA GoF","RHOA","GoF","activates",1
"RNF213 GoF","RNF213","GoF","activates",1
"RNF43 LoF","RNF43","LoF","inhibits",-1
"RNF6 LoF","RNF6","LoF","inhibits",-1
